epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,12808.1,0.88563,1.20624,1.09976,0.63231,0.52996,0.54047,0.33341,1.16991,1.75013,1.3156,0.005908,0.005908,0.005908
64,13011.2,0.86367,1.20547,1.09313,0.63557,0.57216,0.59097,0.36268,1.15815,1.61915,1.30398,0.005842,0.005842,0.005842
65,13214.2,0.87925,1.19567,1.09942,0.67809,0.62336,0.59721,0.36256,1.14299,1.65829,1.28285,0.005776,0.005776,0.005776
66,13417.1,0.86639,1.17326,1.09843,0.63522,0.58006,0.58529,0.34753,1.12236,1.64158,1.27898,0.00571,0.00571,0.00571
67,13619.8,0.86164,1.17689,1.10019,0.59272,0.60014,0.5698,0.3466,1.15414,1.58223,1.30205,0.005644,0.005644,0.005644
68,13822.9,0.84701,1.16615,1.08898,0.61406,0.62344,0.56968,0.33993,1.16598,1.62058,1.31829,0.005578,0.005578,0.005578
69,14025.8,0.8638,1.18914,1.09693,0.65927,0.6279,0.55782,0.3373,1.15312,1.63557,1.29609,0.005512,0.005512,0.005512
70,14228.9,0.85413,1.1584,1.09477,0.65478,0.55753,0.57379,0.35071,1.16439,1.70697,1.3071,0.005446,0.005446,0.005446
71,14432,0.84522,1.14425,1.09228,0.65938,0.60545,0.60986,0.36764,1.1431,1.58083,1.28605,0.00538,0.00538,0.00538
72,14635.1,0.84655,1.14784,1.07698,0.65756,0.56898,0.57517,0.35465,1.14103,1.7051,1.28582,0.005314,0.005314,0.005314
73,14838.4,0.8426,1.12694,1.07718,0.63139,0.63926,0.60602,0.37014,1.15829,1.60237,1.31581,0.005248,0.005248,0.005248
74,15041.4,0.83351,1.10155,1.07388,0.67375,0.60391,0.59238,0.35164,1.14602,1.6554,1.30651,0.005182,0.005182,0.005182
75,15244.8,0.84024,1.12558,1.07893,0.65687,0.63152,0.58881,0.3486,1.15734,1.67736,1.30207,0.005116,0.005116,0.005116
76,15448.1,0.83564,1.13206,1.08024,0.58571,0.64781,0.60225,0.37041,1.15916,1.61963,1.32066,0.00505,0.00505,0.00505
77,15651,0.82889,1.12831,1.08048,0.70547,0.64272,0.60582,0.36057,1.15385,1.60027,1.29953,0.004984,0.004984,0.004984
78,15854.1,0.82908,1.11869,1.06772,0.64144,0.60391,0.61252,0.3694,1.15092,1.57948,1.30359,0.004918,0.004918,0.004918
